Gene Name,Coverage (%),Mean Expression,Total Expression,RSP Area
Maml1,1.1287477954144622,0.01164021164021164,33,177.03865816947922
Maml2,1.7989417989417988,0.01869488536155203,53,40.89167992343633
Maml3,1.1287477954144622,0.012345679012345678,35,20.70970388306663
Mamld1,0.1763668430335097,0.001763668430335097,5,80685.47564820756
Man1a,6.102292768959436,0.0673721340388007,191,4.418816703869599
Man1a2,2.1516754850088184,0.022574955908289243,64,11.109386343436256
Man1b1,3.0335097001763667,0.03139329805996473,89,5.904771939327054
Man1c1,2.0105820105820107,0.020811287477954146,59,33.930769978201326
Man2a1,4.268077601410935,0.0472663139329806,134,2.201691192298994
Man2a2,1.4814814814814816,0.015873015873015872,45,15.348900132962024
Man2b1,7.865961199294532,0.0927689594356261,263,2.787236638284858
Man2b2,0.8465608465608466,0.008465608465608466,24,73.1621549612206
Man2c1,3.1746031746031744,0.032451499118165784,92,5.100001996200057
Man2c1os,0.1763668430335097,0.0021164021164021165,6,128068.57339099499
Manba,1.3403880070546736,0.013756613756613757,39,107.6507059591631
Manbal,5.326278659611993,0.0564373897707231,160,2.358723315198325
Manea,1.199294532627866,0.012698412698412698,36,35.24287175924913
Manf,16.825396825396826,0.20246913580246914,574,0.09462141873275977
Mansc1,0.599647266313933,0.00599647266313933,17,253.59132509667364
Maoa,2.0105820105820107,0.020811287477954146,59,2.556905002060023
Maob,5.679012345679013,0.06172839506172839,175,0.8572694750203287
Map10,0.10582010582010583,0.0010582010582010583,3,45029.56514923316
Map1a,0.3527336860670194,0.0038800705467372134,11,63576.92854764986
Map1b,0.3880070546737213,0.0038800705467372134,11,92803.25312561693
Map1lc3a,24.797178130511462,0.33192239858906525,941,0.05310394050320481
Map1lc3b,33.33333333333333,0.44938271604938274,1274,0.07188337553658136
Map1s,1.305114638447972,0.013756613756613757,39,156.31652562291436
Map2,0.10582010582010583,0.0010582010582010583,3,77528.34749141028
Map2k1,6.384479717813051,0.06631393298059965,188,1.329284467824564
Map2k2,11.393298059964726,0.12874779541446207,365,0.48036818855130603
Map2k3,7.583774250440917,0.08042328042328042,228,0.4513215551921558
Map2k3os,0.10582010582010583,0.0010582010582010583,3,43421.01166869065
Map2k4,2.433862433862434,0.025396825396825397,72,14.350731917233915
Map2k5,1.4462081128747795,0.014814814814814815,42,87.02136731938526
Map2k6,0.3527336860670194,0.003527336860670194,10,91884.943577116
Map2k7,2.0811287477954146,0.022222222222222223,63,17.698628916913698
Map3k1,1.728395061728395,0.01763668430335097,50,32.499464740581615
Map3k10,0.599647266313933,0.00599647266313933,17,480.90878937625416
Map3k11,2.0105820105820107,0.020105820105820106,57,38.18292930037657
Map3k12,0.31746031746031744,0.0031746031746031746,9,4017.802793655645
Map3k14,1.305114638447972,0.013403880070546737,38,101.24463586350524
Map3k15,0.14109347442680778,0.0014109347442680777,4,2052.111841631323
Map3k2,1.1287477954144622,0.011287477954144622,32,41.92268417849881
Map3k20,2.751322751322751,0.02857142857142857,81,0.7760358706272121
Map3k21,0.1763668430335097,0.001763668430335097,5,972.5027356653793
